"{22,23,29,30,24,25,26,27,13,7,58,63,4,28,9,10,11,12,84,5,6}",428
"{10,9,7,29,30,4,5,6,14,13,12,11,84}",591
"{84}",383
"{23,8,7,11,12,2,31,6,24,25,26,27,28,29,30,21,22,57,59,55,58,63,38,37,13,14,3,84}",381
"{36,38,15,16,17,18,39,40,41,42,43,44,45,56,84,74,79,76,77}",254
"{6,11,7,8,12,2,57,13,14,21,60,55,23,24,25,26,27,28,29,84,88,30,37,3,63,58}",377
"{8,9,10,11,12,13,24,25,26,27,28,29,30,32,31,38,36,55,58,63,59,57,49,7,60,84,88,62,48,47}",78
"{24,25,29,30,4,5,6,26,27,28,14,13,11,12,10,9,7,84}",573
"{39,40,41,42,44,43,13,12,4,5,6,7,9,10,84,11}",548
"{7,10,9,57,22,23,24,25,26,27,28,29,30,84,13,12,11}",453
"{5,6,10,9,7,14,13,12,11,4,84,87}",432
"{22,23,30,29,25,24,84,26,27,28}",611
"{84}",177
"{38,24,25,29,30,13,12,11,58,26,27,28,22,23,84,10,9,7,14}",545
"{74,75,79,78,76,80,77,90,91,92,89,84}",1
"{2,3,6,7,8,11,12,13,14,21,23,24,25,26,27,28,29,30,31,37,38,55,58,63,60,59,57,84}",106
"{73,84,75,78,79}",18
"{73,84,90,91,74,75,79,76,77}",110
"{72,83,82,73,74,75,76,77,84,92,91,90,79,78,80}",178
"{64,73,20,84,91,74,79,76,77}",58
"{73,80,72,83,89,82,84,92}",8
"{26,27,28,22,23,30,29,24,25,84}",585
"{29,30,24,25,27,26,28,84}",623
"{15,16,17,56,87,84}",455
"{73,35,84,92,91,74,79,76,80,77,75,90}",71
"{8,6,7,11,12,13,23,24,29,30,37,14,25,26,27,28,39,40,41,42,43,44,21,3,2,31,55,58,63,57,84}",370
"{41,42,39,40,43,44,64,55,58,63,57,59,84}",229
"{22,23,24,25,26,27,28,29,30,4,5,57,55,63,58,6,7,9,10,11,12,13,32,14,84,87}",481
"{31,33,34,35,57,62,84}",52
"{20,31,33,34,35,56,49,47,17,16,15,84,74,36,79,76,80,77}",80
"{4,5,6,11,12,13,9,10,7,84}",607
"{14,8,6,7,11,12,13,23,24,25,26,27,28,29,30,37,55,58,63,2,3,21,38,84}",382
"{24,25,26,27,28,29,30,7,22,23,4,5,6,9,10,11,12,13,14,55,58,63,84}",438
"{15,16,17,56,84}",258
"{20,33,34,36,35,57,62,84,92,80,73}",162
"{22,23,24,25,26,27,28,29,30,5,4,6,11,12,13,10,7,9,14,55,58,63,84}",341
"{24,25,29,30,38,22,23,26,27,28,55,59,58,63,9,10,11,7,14,13,12,4,5,6,87,84}",483
"{38,2,3,6,7,8,11,12,13,14,39,40,41,42,43,44,55,58,23,24,25,26,27,28,29,30,21,37,84}",514
"{45}",582
"{48,59,3,55,58,60,57,2,6,11,12,13,8,7,63,36,29,21,30,24,25,28,26,27,39,40,43,44,41,42,31,84,87,14,38}",84
"{47,49,55,58,63,61,84,76,74,77,60,59}",170
"{18,17,15,16,56,84,74,76,79}",192
"{13,12,11,32,38,57,59,58,29,30,24,25,26,27,28,22,23,84}",473
"{31,33,34,32,35,57,62,84}",69
"{21,38,7,11,13,14,23,24,25,26,27,28,29,30,37,6,12,2,3,8,31,55,58,63,59,57,84}",379
"{7,9,10,11,4,5,6,27,55,58,63,57,59,84,12,13,14,22,23,24,25,26,28,29,30,32,38}",323
"{2,3,31,8,6,11,12,13,7,23,29,30,24,25,21,28,26,27,14,58,63,55,57,84}",348
"{8,23,24,25,26,27,28,29,30,32,6,7,11,12,13,14,37,21,55,57,58,63,38,2,3,84}",375
"{84,20,36,39,41,42,43,44,40}",60
"{22,23,29,58,63,57,30,24,25,28,26,27,32,38,84,89}",415
"{7,21,3,2,6,11,12,13,8,29,55,58,63,57,59,84,30,24,25,28,27,32,31,38}",112
"{32,38,84}",547
"{73,74,75,76,77,79,78,84,91}",59
"{32,58,11,12,13,14,9,10,7,6,5,4,84}",518
"{36,38,48,84,4,5,6,7,9,10,11,12,13,14}",589
"{38,29,30,24,25,26,27,28,22,23,84}",583
"{12,13,55,58,48,63,60,59,25,28,26,32,44,41,42,31,38,36,8,7,21,29,84,88,30,24,2,3,27,39,40,43,11,62,57}",127
"{73,15,20,17,16,84,74,79,76,77,90,91,92}",124
"{15,16,17,18,56,84}",98
"{22,23,55,4,5,6,7,9,10,11,12,13,14,30,29,25,24,38,84,26,27,28}",522
"{75,76,72,83,82,73,74,77,79,84,90,91}",11
"{20,47,49,16,17,15,56,84,74,79,76,77}",44
