"{3,2,5,4,6,11,12,13,8,9,10,7,21,22,23,37,29,30,24,25,28,26,27,31,32,14,43,44,45,36,38,15,16,17,18,39,40,41,42,56,55,58,63,60,59,57,62,48}","48","254"
"{47,49,3,2,5,4,6,21,22,23,37,42,41,44,26,43,40,39,14,12,13,9,10,11,8,20,29,31,32,30,28,33,7,27,34,36,38,55,59,57,62,48,58,63,61,60,24,25}","48","433"
"{3,2,5,4,6,11,12,13,9,10,7,21,22,23,37,29,30,25,28,26,27,39,40,43,44,41,42,31,32,14,45,38,8,24,36,20,47,49,16,17,15,48,59,60,63,58,56,55}","48","44"
"{32,7,3,2,5,4,6,21,22,23,37,14,45,38,8,31,33,34,39,40,41,42,43,44,9,10,11,12,13,24,25,26,27,28,29,30,20,35,55,56,58,63,61,60,59,57,62,47}","48","345"
"{26,27,39,18,3,2,5,4,15,17,16,6,22,23,37,14,11,12,13,8,9,10,7,21,29,30,24,25,28,40,43,44,41,42,31,32,36,38,57,55,58,56,63,60,59,62,48,47}","48","259"
"{3,2,5,4,6,11,12,13,8,9,10,7,21,22,23,37,29,30,24,25,28,26,27,39,40,43,44,41,42,31,32,14,38,15,16,17,18,55,58,63,60,59,57,62,48,47,56}","47","98"
"{3,2,5,4,6,14,21,22,23,37,38,20,24,25,26,27,28,29,30,31,33,34,36,7,8,9,10,11,12,13,32,35,56,55,58,63,61,60,59,57,62,48,49,47,17,16,15}","47","80"
"{5,4,9,10,21,22,2,3,6,7,8,11,12,13,14,36,44,37,32,33,55,58,63,47,62,23,24,25,26,27,28,29,30,38,39,40,41,42,43,34,35,31,60,59,57,48}","46","196"
"{5,4,22,23,37,21,3,24,2,20,36,55,58,63,25,43,41,61,60,59,57,62,48,47,49,28,26,27,39,40,44,42,31,32,14,38,6,11,12,13,8,9,10,7,29,30}","46","398"
"{2,8,35,43,5,4,9,10,22,32,24,25,26,27,28,29,30,31,44,38,39,40,41,42,36,37,3,45,6,7,11,12,13,14,56,57,62,58,55,63,60,59,48,18,21,23}","46","116"
"{48,5,4,22,23,37,14,3,2,6,11,12,13,8,9,10,7,21,29,30,24,25,28,26,27,39,40,43,44,41,42,31,32,38,45,55,58,63,60,59,57,62,56,33,34,35}","46","134"
